,count,wins,winsPerRace,meanOdds,oddsTotal
John Byström,116,4,0.034482758620689655,39.43103448275862,4574
Kjell Magnusson,115,6,0.05217391304347826,35.0,4025
Lennart Frölander,115,19,0.16521739130434782,11.486956521739131,1321
Helena Bodén,115,4,0.034782608695652174,50.45217391304348,5802
Heikki Korhonen,114,28,0.24561403508771928,9.62280701754386,1097
Ralf Karlstedt,114,6,0.05263157894736842,34.228070175438596,3902
Kenneth Danielsen,114,5,0.043859649122807015,44.421052631578945,5064
Teuvo Nikulainen,114,11,0.09649122807017543,18.026315789473685,2055
Gabriella Gunnarsson,113,4,0.035398230088495575,45.70796460176991,5165
Timo Kukkonen,113,16,0.1415929203539823,12.823008849557523,1449
Erkki Tulla,113,4,0.035398230088495575,27.920353982300885,3155
Louise Granstedt,113,7,0.061946902654867256,31.486725663716815,3558
Christian Drottmar,113,5,0.04424778761061947,28.920353982300885,3268
Jan Schön,113,4,0.035398230088495575,29.92920353982301,3382
Karin Hall,113,9,0.07964601769911504,29.63716814159292,3349
Stefan Andreasson,112,9,0.08035714285714286,35.32142857142857,3956
Veronica Haglund,112,10,0.08928571428571429,34.044642857142854,3813
Marko Heikari,112,7,0.0625,19.8125,2219
Ruth J Andersson,112,16,0.14285714285714285,25.669642857142858,2875
John Ö Jensen,111,6,0.05405405405405406,32.468468468468465,3604
Tomas B Nilsson,111,14,0.12612612612612611,24.81081081081081,2754
Tommy Karlstedt,111,16,0.14414414414414414,29.25225225225225,3247
Jouko Kangas,111,22,0.1981981981981982,16.774774774774773,1862
Tony Eliasson,111,3,0.02702702702702703,53.63963963963964,5954
Juha Pylkkänen,110,11,0.1,21.70909090909091,2388
Catrin Fajersson,110,7,0.06363636363636363,33.90909090909091,3730
Rickard Smidt,110,7,0.06363636363636363,30.7,3377
Reijo Borgström,110,2,0.01818181818181818,42.32727272727273,4656
Tanja Jetsonen,109,4,0.03669724770642202,57.84403669724771,6305
Kjell O Jonsson,109,0,0.0,43.981651376146786,4794
Jussi Rämö,108,17,0.1574074074074074,18.49074074074074,1997
Mattias Berglund,108,5,0.046296296296296294,31.064814814814813,3355
Juhani Kärki,108,15,0.1388888888888889,23.98148148148148,2590
Dick S Jansson,108,3,0.027777777777777776,32.5,3510
Olof Thorson,108,10,0.09259259259259259,33.324074074074076,3599
Marcus Hultman,108,7,0.06481481481481481,32.52777777777778,3513
Bo Björk,108,12,0.1111111111111111,22.11111111111111,2388
Pekka Vehviläinen,107,5,0.04672897196261682,39.87850467289719,4267
Bo Ralfelt,107,4,0.037383177570093455,57.757009345794394,6180
Camilla Jonasson,107,16,0.14953271028037382,16.476635514018692,1763
Okko Mikkonen,107,8,0.07476635514018691,23.46728971962617,2511
Miia Pulkkanen,107,7,0.06542056074766354,35.794392523364486,3830
Joni Hakala,107,6,0.056074766355140186,42.63551401869159,4562
Tero Lahtinen,107,8,0.07476635514018691,26.672897196261683,2854
Mikko Ojanperä,107,2,0.018691588785046728,36.25233644859813,3879
Karin Eriksson,107,2,0.018691588785046728,57.429906542056074,6145
Katrin K Frick,107,9,0.08411214953271028,27.953271028037385,2991
Marko Lavi,107,12,0.11214953271028037,15.785046728971963,1689
Joakim Wallin,106,11,0.10377358490566038,19.60377358490566,2078
Magdalena Ulriks.-Siminski,106,10,0.09433962264150944,28.169811320754718,2986
Bo Landgren,106,5,0.04716981132075472,29.37735849056604,3114
Ulrika Rehn,106,14,0.1320754716981132,19.952830188679247,2115
Emma E Johansson,106,15,0.14150943396226415,22.264150943396228,2360
Jörgen Lorentzen,106,1,0.009433962264150943,44.31132075471698,4697
Jarno Kauhanen,105,12,0.11428571428571428,14.733333333333333,1547
Tom Eriksson,105,27,0.2571428571428571,6.904761904761905,725
Tanja Soukka,105,9,0.08571428571428572,19.114285714285714,2007
Leif Eriksson,105,1,0.009523809523809525,38.15238095238095,4006
Hanna Ranta,105,5,0.047619047619047616,31.63809523809524,3322
Reijo Suomalainen,105,8,0.0761904761904762,25.457142857142856,2673
Dan Widegren,104,10,0.09615384615384616,12.596153846153847,1310
Åke Barkmark,104,5,0.04807692307692308,45.76923076923077,4760
Pauli Raivio,104,27,0.25961538461538464,10.817307692307692,1125
Mia Lamminen,104,10,0.09615384615384616,32.63461538461539,3394
Jarkko Ristimäki,104,8,0.07692307692307693,44.89423076923077,4669
Göran B Andersson,103,10,0.0970873786407767,26.398058252427184,2719
