,count,wins,winsPerRace,meanOdds,oddsTotal
Diamond Circle,3,0,0.07447774088240745,31.666666666666668,95
Kazire de Guez,3,0,0.07536182153074718,71.66666666666667,215
Tangen Tinn,3,0,0.07452319405526289,19.666666666666668,59
Karku,2,2,0.07657227760112256,7.5,15
Valley Victor* (US),2,0,0.07588407371670486,101.0,202
Juvel Tröjborg,2,0,0.07481433841721778,70.5,141
Feseth Lynet* (NO),2,0,0.07588634674726104,2.5,5
Jasmin De Flore* (FR),2,0,0.07481188382386966,10.0,20
Spendic,2,0,0.07590958660705367,49.0,98
Ever To Excel,2,0,0.07638022243163044,24.0,48
Here Comes Herbie,2,0,0.07471509580919299,22.0,44
Golden Globe,2,0,0.07590725239669577,21.5,43
Pablo As,2,0,0.07414801548839624,34.0,68
Royal Gull,2,0,0.0747296457179472,8.0,16
Kosar,2,0,0.07385163271953335,80.0,160
Dominik,2,0,0.07657382289999883,35.5,71
Voltigeur de Myrt,2,1,0.07657087474620453,6.0,12
Rubis de Padd,2,0,0.07648989113792647,54.0,108
Nahar De Beval* (FR),2,0,0.07657931548314127,6.0,12
Hr Siem* (DK),2,0,0.07481918142728163,38.0,76
Astro Amour M.,2,0,0.0748215697914763,20.5,41
Tequilaracing Rose,2,0,0.07620461620937116,63.0,126
The Bank,2,0,0.07660670348153512,8.5,17
Pondus,2,0,0.07545133420609698,14.5,29
V.G. Majestic,2,0,0.07545392438057082,57.5,115
Elkhorn Creek* (US),2,0,0.07550000830355527,38.5,77
Thewayiam Ås,2,0,0.07516844997252334,63.0,126
Rydens Sensation,2,0,0.07516612084428541,37.5,75
Sleipner Tor,2,0,0.07611529994948227,37.5,75
Garden Spot,2,2,0.07611432374276492,8.0,16
Jasmin de Flore,2,0,0.07511614507716942,6.0,12
V.T. Valtteri,2,0,0.07564355139216038,75.5,151
Steinlager* (SE),2,0,0.07565109128271383,16.0,32
Hr Siem,2,0,0.07405685937682516,85.5,171
Mr McNally,2,0,0.0756608323369534,12.0,24
Zoogin,2,0,0.07405972380344339,79.0,158
San Pellegrino* (US),2,0,0.07510903968161226,15.5,31
Magic Tonight,2,0,0.0765863114267269,19.0,38
Kaskumma,2,0,0.07501771185236251,92.5,185
French Knock Out,2,0,0.0760777574591061,41.5,83
Horgen Tore* (NO),2,0,0.07607403612145265,37.5,75
Texas Charm* (FR),2,0,0.07607274800857858,6.5,13
Readly Express,2,0,0.07658109961353207,3.5,7
Hovstein Friggen,2,0,0.07584064930099838,29.5,59
Brads Photo,2,0,0.07606595119549665,7.5,15
Sodin,2,0,0.07575930982889853,42.5,85
Valley Sentry* (US),2,0,0.07588859716168082,24.0,48
Oktan Spee,2,0,0.07402748644894455,14.5,29
Next Kinney,2,0,0.07621042465355128,52.5,105
Temuli,2,0,0.0742476765690919,4.5,9
Duka,2,0,0.07598083447540306,76.0,152
Valley Sentry,2,1,0.07607458762627628,20.5,41
Bar Code,2,0,0.07654880568608004,77.5,155
Pad d'Urzy,2,0,0.07606432642246642,28.0,56
Greatest Image,2,0,0.07419971278596527,29.0,58
Spang Best,2,0,0.07420230849446408,83.0,166
Brillantissime* (FR),2,0,0.0765694480710169,22.0,44
Aamos Paukku,2,0,0.07427895603516377,40.5,81
Severino* (FR),2,0,0.07425025356356674,25.5,51
Zlatan Liss,2,0,0.07592458750776815,24.0,48
Don't Blink Twice,2,0,0.07430599922534296,49.0,98
Qvadrigo* (SE),2,0,0.07648224298768351,275.0,550
Musta-Hulmu,2,0,0.0764966739237737,10.5,21
Lets Go* (DE),2,0,0.07598988573360353,17.5,35
K.P. Salama,2,2,0.07649560381223591,4.0,8
Allison Hollow,2,0,0.07615697866091646,30.5,61
Mr Exquisite* (US),2,0,0.07649450952197831,60.0,120
Kashner Hanover,2,0,0.07616022173976905,52.5,105
Racer Bourbon* (FR),2,0,0.07424848694669457,74.5,149
Frosts Oilbaron,2,0,0.07594139058065204,24.5,49
Pinball Wizard,2,0,0.07655503602440902,9.0,18
Bob Heyden,2,0,0.0747932146696721,11.0,22
Adam's Peak,2,0,0.07603457437228638,17.0,34
Duran Hanover* (US),2,0,0.07588662333171839,67.5,135
Berto Primo,2,0,0.07413113110606946,17.0,34
Kepler* (FR),2,0,0.0765665233715068,2.0,4
Tino Kustaa,2,2,0.07606023232307209,2.0,4
Ghiaccio del Nord,2,0,0.07656502540296062,19.0,38
Ponuveikko,2,0,0.07422204341504281,41.5,83
Turnpike Taylor,2,0,0.07638442131551486,47.5,95
Marion Montana,2,1,0.07656366982623813,24.5,49
Hövding Lavec* (SE),2,0,0.07649108186103619,5.0,10
Giant Value,2,0,0.07608738389215683,62.0,124
Hoof Beats,2,0,0.07599052910468451,3.5,7
Delgado* (IT),2,0,0.07655653441624259,17.5,35
Sherbrooke Hanover,2,0,0.07598816657909091,7.0,14
Staro Showbiz,2,0,0.07456867632739515,29.5,59
Kenavo Paris,1,0,0.0764933910812281,8.0,8
Tuxi Titan,1,0,0.07660315171896774,22.0,22
Vino Camielle* (US),1,0,0.07615932169447413,8.0,8
Obelix,1,0,0.07629256972728847,16.0,16
Ja El Tomcat,1,0,0.07659764873677212,3.0,3
Trö Fyr* (NO),1,0,0.07648867637698811,5.0,5
Pomerol De Laumac* (FR),1,0,0.07620854405617386,25.0,25
Credit Fayline,1,1,0.0765960999637056,12.0,12
Othello Vivant,1,0,0.07648488814812801,39.0,39
Solero Briljant,1,0,0.0766013407424615,58.0,58
Fjord Jerven,1,0,0.0765995064058864,114.0,114
Calin* (IT),1,0,0.0766049393078515,139.0,139
Moni Chip,1,0,0.07648617485402064,13.0,13
Ogham,1,0,0.07649224851818799,1.0,1
Lome Elden* (NO),1,0,0.07633802697951836,8.0,8
Yankee Daylight,1,0,0.07638164583000068,40.0,40
Evidence Ås* (SE),1,0,0.07659452753014655,39.0,39
Tapsan Tahti,1,0,0.07659293146388377,11.0,11
Cantab Hall D.E.,1,0,0.07656799760348422,5.0,5
Look De Star,1,0,0.07638577334687548,37.0,37
Real de Lou,1,0,0.0765622903771559,4.0,4
Ottawa Launcher,1,0,0.07638710153340914,16.0,16
Pil Jahn,1,0,0.07656088708368278,142.0,142
Pickaflick* (US),1,0,0.07657567709883871,71.0,71
Strong Knight,1,0,0.07657750796906083,79.0,79
Pelle Babs* (SE),1,0,0.07655351392766475,52.0,52
Truculent,1,0,0.07655196815383312,7.0,7
Nordlirappen,1,0,0.07655039873071323,29.0,29
Blue Suede Victory,1,0,0.07403890609789138,23.0,23
Self Timer* (US),1,1,0.0765475212487656,55.0,55
Broadway Legs,1,0,0.07654621286247452,26.0,26
Paul Trot,1,0,0.0765448805552404,10.0,10
Rapp Best,1,0,0.07634383578899313,7.0,7
D.J.Seabrook,1,0,0.07658800174639921,26.0,26
Blixtsnabb,1,0,0.07658966854428166,39.0,39
Mago d'Amore,1,0,0.07659131179268197,5.0,5
Glazier's Ensign,1,0,0.07633948705153096,13.0,13
Super Anders,1,0,0.07531582613602102,4.0,4
Ravn Jahn* (NO),1,0,0.07620888353241044,23.0,23
Matador de Vrie* (FR),1,0,0.07620703700426364,6.0,6
Tsar d'Inverne,1,0,0.0759105454559492,8.0,8
Smooth Blend* (US),1,0,0.07482872214079185,44.0,44
Rigel Jo,1,0,0.07588886125363277,260.0,260
Having Said That,1,0,0.07589107651806841,13.0,13
Possess the Will,1,0,0.07589326909814784,34.0,34
Boardwalk Hall,1,1,0.07489841433096663,1.0,1
Odins Eld,1,0,0.07589971046312176,5.0,5
Succeed,1,0,0.07590627966711283,8.0,8
